id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
-UYmBn6yG6vyKqvViasTsg,fat-boys-arcadia-2,Fat Boys,https://s3-media4.fl.yelpcdn.com/bphoto/rFlxj9OL1tBUCierOR6KrA/o.jpg,False,https://www.yelp.com/biz/fat-boys-arcadia-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",5.0,"{'latitude': 34.142691, 'longitude': -118.024493}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Arcadia', 'zip_code': '91006', 'country': 'US', 'state': 'CA', 'display_address': ['Arcadia, CA 91006']}",+16263724627,(626) 372-4627,35180.82430641933,
V3s0XqV0Ir4AQ4fq78SZAQ,fuel-food-truck-los-angeles,Fuel Food Truck,,False,https://www.yelp.com/biz/fuel-food-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.07082, 'longitude': -118.3758}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90048', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90048']}",+18553965230,(855) 396-5230,2553.101199342743,
fMLvNIqiPfcX6yJam2KegQ,tacos-tuzo-santa-monica,Tacos Tuzo,https://s3-media1.fl.yelpcdn.com/bphoto/NylA58Sn396brTIuxiA6Mw/o.jpg,False,https://www.yelp.com/biz/tacos-tuzo-santa-monica?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,26,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 34.01758, 'longitude': -118.49414}",[],"{'address1': '501 Santa Monica Blvd', 'address2': '', 'address3': '', 'city': 'Santa Monica', 'zip_code': '90401', 'country': 'US', 'state': 'CA', 'display_address': ['501 Santa Monica Blvd', 'Santa Monica, CA 90401']}",+13105706052,(310) 570-6052,11323.016955081066,$
YlyA3Ch7hZECJZD6Di213Q,tockys-pita-santa-monica,Tocky's Pita,https://s3-media4.fl.yelpcdn.com/bphoto/KRB-8cMhOtOwiLs0y8lvRg/o.jpg,False,https://www.yelp.com/biz/tockys-pita-santa-monica?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,12,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.015429, 'longitude': -118.4996357}",[],"{'address1': '1300 Ocean Ave', 'address2': 'Ste 1360', 'address3': '', 'city': 'Santa Monica', 'zip_code': '90401', 'country': 'US', 'state': 'CA', 'display_address': ['1300 Ocean Ave', 'Ste 1360', 'Santa Monica, CA 90401']}",,,11852.54021890207,$$
WfB5G04uJyUr5Tm-rFClRw,bowled-and-beautiful-santa-monica,Bowled & Beautiful,https://s3-media4.fl.yelpcdn.com/bphoto/ZwWG7oBTiqste4FG1pPzrw/o.jpg,False,https://www.yelp.com/biz/bowled-and-beautiful-santa-monica?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,52,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.0116653442383, 'longitude': -118.468536376953}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Santa Monica', 'zip_code': '90405', 'country': 'US', 'state': 'CA', 'display_address': ['Santa Monica, CA 90405']}",+13104808017,(310) 480-8017,10137.981204522039,$$
1SeCdGBjwEEO2MwJ7jPFeg,cousins-maine-lobster-los-angeles-los-angeles,Cousins Maine Lobster - Los Angeles,https://s3-media2.fl.yelpcdn.com/bphoto/ZcieicfixXGNdhL-enqZ9w/o.jpg,False,https://www.yelp.com/biz/cousins-maine-lobster-los-angeles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,978,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.05682, 'longitude': -118.24387}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18558554265,(855) 855-4265,14473.404963961835,$$
XXKIiVFgQQvsb1YtJSoGKA,romagna-mia-los-angeles,Romagna Mia,,False,https://www.yelp.com/biz/romagna-mia-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.0596504211426, 'longitude': -118.32201385498}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90005']}",+13103657170,(310) 365-7170,8729.848111126003,
W17A4C7TYqOGRMaORTgIQw,paloma-celestial-food-truck-los-angeles,Paloma Celestial Food Truck,https://s3-media3.fl.yelpcdn.com/bphoto/lcn44mErAqItlR5MiNVvEA/o.jpg,False,https://www.yelp.com/biz/paloma-celestial-food-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 34.039044, 'longitude': -118.38803}",[],"{'address1': '2480 S Robertson Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['2480 S Robertson Blvd', 'Los Angeles, CA 90034']}",+13238013531,(323) 801-3531,4950.554603176151,
3sAMOilKG3gZlMTmKyaY0A,tender-grill-gourmet-brazilian-kitchen-los-angeles,Tender Grill Gourmet Brazilian Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/tut9hTG2a5OuJa80aIWtdw/o.jpg,False,https://www.yelp.com/biz/tender-grill-gourmet-brazilian-kitchen-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,117,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'brazilian', 'title': 'Brazilian'}]",4.5,"{'latitude': 33.999, 'longitude': -118.43041}",['delivery'],"{'address1': '12402 Washington PIace', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['12402 Washington PIace', 'Los Angeles, CA 90066']}",+13105917768,(310) 591-7768,9714.89700431162,$$
xhyc5bELVpwFUfV7KAmJOA,vchos-truck-los-angeles,Vchos Truck,https://s3-media3.fl.yelpcdn.com/bphoto/6jAehhTlv6rckFXtkK9pMQ/o.jpg,False,https://www.yelp.com/biz/vchos-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,293,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.061603, 'longitude': -118.312405}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90010']}",+13232839558,(323) 283-9558,8646.118535492666,$
